Mention ID,Turn,GROUP A - Total nodes,GROUP A - Total edges,GROUP A - Average degree,GROUP A - Average degree centrality,GROUP A - Average closeness,GROUP A - Average degree connectivity,GROUP A - Average assortativity,GROUP A - Average node connectivity,GROUP A - Number of components,GROUP A - Number of strong components,GROUP A - Centrality entropy,GROUP A - Closeness entropy,GROUP A - Sparseness,GROUP B - Total classes,GROUP B - Total properties,GROUP B - Average population,GROUP B - Attribute richness,GROUP B - Relationship richness,GROUP B - Total axioms,GROUP C - Total triples,GROUP C - Total world instances,GROUP C - Total claims,GROUP C - Total perspectives,GROUP C - Total mentions,GROUP C - Total conflicts,GROUP C - Total sources,GROUP C - Total interactions,GROUP C - Total utterances,GROUP C - Ratio claim to triples,GROUP C - Ratio perspectives to triples,GROUP C - Ratio conflicts to triples,GROUP C - Ratio perspectives to claims,GROUP C - Ratio mentions to claims,GROUP C - Ratio conflicts to claims,GROUP C - Average perspectives per claim,GROUP C - Average mentions per claim,GROUP C - Average turns per interaction,GROUP C - Average claims per source,GROUP C - Average perspectives per source
0425f982-b0b7-4504-8430-1c781a70a980,0,0.0,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fa46ea8d-a010-4266-b9ed-c99f6ee9e655,1,0.0,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8b28dcbe-7261-4cc0-a8d7-b465f92608e6,2,0.0,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b95a0cae-827c-4f1f-9a61-1651dafebced,3,0.0,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8c2e3a37-27bd-4005-80a8-aafe003dffee,4,0.0,0.0,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26ebc5d2-5253-475e-ae4f-369ba3035dc8,5,668.0,1445.0,4.326347305389222,0.006486277819174246,0.005736072197763063,1.3274445697349888,-0.2104088373599379,0.0,2.0,-0.2104088373599379,8.387984124858072,7.284399276707018,0.0031777761841586287,273.0,96.0,0.13186813186813187,0.10416666666666667,0.256,608.0,1445.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0006920415224913495,0.0006920415224913495,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
7b6ff4a3-f06d-4cf1-a172-cf6b1691d022,6,668.0,1445.0,4.326347305389222,0.006486277819174246,0.005736072197763063,1.3274445697349888,-0.2104088373599379,0.0,2.0,-0.2104088373599379,8.387984124858072,7.284399276707018,0.0031777761841586287,273.0,96.0,0.13186813186813187,0.10416666666666667,0.256,608.0,1445.0,2.0,1.0,1.0,1.0,0.0,1.0,,1.0,0.0006920415224913495,0.0006920415224913495,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
347ed0c8-4b01-4250-b288-b5e37f161de1,7,668.0,1445.0,4.326347305389222,0.006486277819174246,0.005736072197763063,1.3274445697349888,-0.2104088373599379,0.0,2.0,-0.2104088373599379,8.387984124858072,7.284399276707018,0.0031777761841586287,273.0,96.0,0.13186813186813187,0.10416666666666667,0.256,608.0,1445.0,2.0,1.0,1.0,1.0,0.0,1.0,,1.0,0.0006920415224913495,0.0006920415224913495,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
d6953629-4a74-4d63-88b9-8b9199c6bd01,8,691.0,1498.0,4.33574529667149,0.006283688835755784,0.005940308069556433,1.3401896784675367,-0.23093769720669172,0.0,2.0,-0.23093769720669172,8.442891085011025,7.483373623130416,0.0030807508571021676,273.0,96.0,0.1794871794871795,0.10416666666666667,0.256,645.0,1498.0,3.0,2.0,2.0,3.0,0.0,1.0,0.0,2.0,0.0013351134846461949,0.0013351134846461949,0.0,1.0,1.5,0.0,1.0,1.0,2.0,1.0,2.0
ba4652fe-1f00-4166-a8d5-d95084670d70,9,691.0,1498.0,4.33574529667149,0.006283688835755784,0.005940308069556433,1.3401896784675367,-0.23093769720669172,0.0,2.0,-0.23093769720669172,8.442891085011025,7.483373623130416,0.0030807508571021676,273.0,96.0,0.1794871794871795,0.10416666666666667,0.256,645.0,1498.0,3.0,2.0,2.0,3.0,0.0,1.0,,2.0,0.0013351134846461949,0.0013351134846461949,0.0,1.0,1.5,0.0,1.0,1.0,2.0,1.0,2.0
39bdff54-388d-499f-811e-261109c32409,10,707.0,1541.0,4.3592644978783595,0.00617459560606,0.006229083094541434,1.3571998016128142,-0.24602640780557183,0.0,2.0,-0.24602640780557183,8.478021746281744,7.627110842791594,0.003028914732249139,273.0,96.0,0.21611721611721613,0.10416666666666667,0.256,678.0,1541.0,4.0,3.0,3.0,5.0,0.0,1.0,0.0,3.0,0.001946787800129786,0.001946787800129786,0.0,1.0,1.6666666666666667,0.0,1.0,1.0,3.0,2.0,3.0
53f4657d-df98-499e-ae03-6fc559492177,11,707.0,1541.0,4.3592644978783595,0.00617459560606,0.006229083094541434,1.3571998016128142,-0.24602640780557183,0.0,2.0,-0.24602640780557183,8.478021746281744,7.627110842791594,0.003028914732249139,273.0,96.0,0.21611721611721613,0.10416666666666667,0.256,678.0,1541.0,4.0,3.0,3.0,5.0,0.0,1.0,,3.0,0.001946787800129786,0.001946787800129786,0.0,1.0,1.6666666666666667,0.0,1.0,1.0,3.0,2.0,3.0
239dc676-d2fd-449e-87f7-ece2fc961588,12,707.0,1541.0,4.3592644978783595,0.00617459560606,0.006229083094541434,1.3571998016128142,-0.24602640780557183,0.0,2.0,-0.24602640780557183,8.478021746281744,7.627110842791594,0.003028914732249139,273.0,96.0,0.21611721611721613,0.10416666666666667,0.256,678.0,1541.0,4.0,3.0,3.0,5.0,0.0,1.0,,3.0,0.001946787800129786,0.001946787800129786,0.0,1.0,1.6666666666666667,0.0,1.0,1.0,3.0,2.0,3.0
1da7b32d-dd32-4205-9569-04a500d5bce2,13,707.0,1541.0,4.3592644978783595,0.00617459560606,0.006229083094541434,1.3571998016128142,-0.24602640780557183,0.0,2.0,-0.24602640780557183,8.478021746281744,7.627110842791594,0.003028914732249139,273.0,96.0,0.21611721611721613,0.10416666666666667,0.256,678.0,1541.0,4.0,3.0,3.0,5.0,0.0,1.0,,3.0,0.001946787800129786,0.001946787800129786,0.0,1.0,1.6666666666666667,0.0,1.0,1.0,3.0,2.0,3.0
026cbbc9-6f3e-4b66-8e73-f4d5547a221c,14,731.0,1604.0,4.388508891928865,0.00601165601634091,0.006589243260510756,1.3710914104894953,-0.26269661418982204,0.0,2.0,-0.26269661418982204,8.529985412314993,7.7769903015831945,0.0029511884287962632,273.0,96.0,0.27472527472527475,0.10416666666666667,0.256,723.0,1604.0,7.0,4.0,4.0,8.0,0.0,1.0,0.0,4.0,0.0024937655860349127,0.0024937655860349127,0.0,1.0,2.0,0.0,1.0,1.0,4.0,3.0,4.0
